partner_id,name,phone,vehicle_number,rating,active_status
52,Zinoviya Ciriano,(102) 902-4195,7JBC334,4.5,1
53,Jasmin Homyakov,(833) 571-9571,9DBC134,3.3,1
54,Ingrid Achirica,(668) 051-0453,9UBC334,2,0
55,Margarett Gansauge,+91 84914-52787,1OBC034,3.2,1
56,Rytis Luo,+91 42038-39016,9XBC334,4.8,1
57,Dorine Eckmeyer,+91 22612-39224,3NBC234,3.1,1
58,Eloy Mrowinsk,+27 29 537 8682,CA 853-456,1.7,1
59,Xiuping Iyurritegi,+91 76431-35168,2IBC334,4,1
60,Brady Vijayalakshmi,+91 55270-14103,3JBC534,3.3,1
61,Thami Rosche,+91 30318-29528,1UBC834,3.8,0
62,Klaus Polena,+91 73189-66067,6VBC434,2.8,1
63,Matas During,(555) 141-2855,9OBC434,4,0
64,Khouloud Mojarovsky,+63 4997-7561,HBG 6434,1,1
65,Evandro Stehlin,(276) 901-4749,4NBC334,4.3,1
66,Everaldo Belorussov,+94 26 343 2423,JF-8316,4.9,1
67,Xin Sedlmayr,+91 54110-79958,GX 05 NN 1496,3.3,1
68,Judy Ionita,+91 22508-47367,2XBC134,2.1,1
69,Eudoxia Sobreira,+91 82900-85756,5QBC534,1.9,1
70,Banesa Corvalan,+27 39 155 5689,1XBC334,2.1,1
71,Hanza Kleinmann,(882) 802-1196,5GBC034,4.6,1
72,Resham Rosenbohm,+91 85567-55069,2SBC034,3.2,1
73,Minjie Cottrell,+62 874-3873-0132,B 2034 HYZ,4.7,1
74,Ioanna Bokser,(168) 904-7552,9GBC734,2.4,1
75,Kalifa Mahin,+27 42 054 9530,CM 453-456,3.1,1
76,Yadhira Abalakov,(377) 652-1503,4LBC234,3.5,0
77,Ghania Emo,+91 28029-41558,7VBC734,1.9,1
78,Khalilah Daldrup,(123) 908-8354,IBC 4234,1.3,1
79,Naika Linnerbauer,(893) 547-4418,9EBC534,1.3,1
80,Yimmy Seehausen,+91 90432-52024,7DBC434,2.4,1
81,Gilberta Tadeus,+61 9 3113 8553,5LBC034,1.4,0
82,Cisse Bustins,(588) 101-4182,3YBC834,3.9,1
83,Maye Repas,+90 399 197 5830,34 JBC 873,2.1,1
84,Galyna Cuallado,(027) 395-4150,1KBC534,2.6,1
85,Zana Shruti,+61 9 5759 4232,9RBC634,1.6,0
86,Bryan Yakurin,+91 81920-09189,4ABC434,1.9,1
87,Mate Jespers,+63 3610-0402,ZUC 7534,2.2,1
88,Hilde Sieman,+61 0 6950 1591,6PBC234,4.6,1
89,Iurdana Prokoshkin,+64 25 787 0578,RBC733,2.9,0
